Section,Programme,English title,Episodes,Latest episode,Plays outside Portugal,Description (PT),Description (EN),Link
Documentaries (Portugal),Caiu,Fallen,1,20 jun. 2026,no,"Anos 50. Uma família pobre rural atravessa o montado alentejano para enterrar um familiar. Mas o caminho reserva-lhes uma surpresa: um baú fechado, ","The 1950s. A poor rural family crosses the Alentejo cork-oak woodland to bury a relative. But the road holds a surprise for them: a locked chest,…",https://www.rtp.pt/play/p13471/e937380/caiu
Documentaries (Portugal),Exílio no Atlântico,Exile in the Atlantic,1,17 jun. 2026,no,"'O Rochedo de Gibraltar era, no princípio da Segunda Guerra Mundial, uma Fortaleza Britânica fortemente protegida. Com as iminentes ameaças de ataq","'At the start of the Second World War, the Rock of Gibraltar was a heavily protected British Fortress. With the imminent threats of attac…",https://www.rtp.pt/play/p7533/e936717/exilio-no-atlantico
Documentaries (Portugal),BIAL: 100 Anos Inspirados Pelo Futuro,BIAL: 100 Years Inspired by the Future,2,13 jun. 2026,no,"Conduzido pelo aclamado ator internacional Pêpê Rapazote, o documentário de Ricardo Clara Couto convida-nos a percorrer o singular caminho que a pr","Presented by acclaimed international actor Pêpê Rapazote, Ricardo Clara Couto's documentary invites us to follow the unique path that the…",https://www.rtp.pt/play/p14796/e935855/bial-100-anos-inspirados-pelo-futuro
Documentaries (Portugal),No Táxi do Jack,Jack's Ride,2,11 jun. 2026,no,"Estreado no Festival de Cinema de Berlim em 2021, ?No Táxi do Jack? percorreu mais de 25 festivais nacionais e internacionais e arrecadou quatro pré","Premiered at the Berlin Film Festival in 2021, 'Jack's Ride' has been shown at more than 25 national and international festivals and won four awa…",https://www.rtp.pt/play/p14728/e935356/no-taxi-do-jack
Documentaries (Portugal),Falamos de António Campos,Talking About António Campos,3,29 mai. 2026,yes,"Este documentário fala de António Campos revisitando o seu percurso de cineasta excecional a quem chamaram amador, um dos mais singulares realizador","This documentary talks about António Campos, revisiting his career as an exceptional filmmaker who was called an amateur, one of the most singular directors…",https://www.rtp.pt/play/p15022/e932281/falamos-de-antonio-campos
Documentaries (Portugal),Submersos no Índico,Submerged in the Indian Ocean,1,18 mai. 2026,yes,"A costa da Ilha de Moçambique, Património Mundial da Humanidade, é também um cemitério submerso que preserva séculos de história marítima. Des","The coast of the Island of Mozambique, a World Heritage Site, is also an underwater cemetery that preserves centuries of maritime history. Si…",https://www.rtp.pt/play/p16717/e929768/submersos-no-indico
Documentaries (Portugal),Wenceslau de Moraes,Wenceslau de Moraes,1,14 mai. 2026,yes,"Em 1854 nasce em Lisboa Wenceslau de Moraes, autor do celebrado 'O Culto do Chá', um dos seus livros em que fala com minúcia de um país que admirav","In 1854, Wenceslau de Moraes is born in Lisbon, author of the celebrated 'The Cult of Tea', one of his books in which he writes in detail about a country he admired…",https://www.rtp.pt/play/p16692/e928925/wenceslau-de-moraes
Documentaries (Portugal),Pólio: O Caminho Para a Erradicação,Polio: The Road to Eradication,3,10 mai. 2026,yes,"Para muitos, a poliomielite é uma doença do passado. Mas para África, o anúncio da erradicação do poliovírus selvagem foi uma vitória apenas c","For many, polio is a disease of the past. But for Africa, the announcement of the eradication of wild poliovirus was a victory only a…",https://www.rtp.pt/play/p9205/e928000/polio-o-caminho-para-a-erradicacao
Documentaries (Portugal),"Viagem no tempo, à Procura do Socialismo","Time Travel, in Search of Socialism",1,19 abr. 2026,no,"Um documentário de autoria do jornalista Alípio Freitas e Mário Lindolfo, sobre a história contemporânea de Portugal no período pós 25 de abril",A documentary by journalists Alípio Freitas and Mário Lindolfo on the contemporary history of Portugal in the period after 25 April…,https://www.rtp.pt/play/p16602/e923222/viagem-no-tempo-a-procura-do-socialismo
Documentaries (Portugal),Editor Contra,The Dissident Publisher,1,18 abr. 2026,no,"Antes do 25 de Abril de 74, as Edições Afrodite de Fernando Ribeiro de Mello publicam uma vasta coleção de livros proibidos, apreendidos e destru","Before 25 April 1974, Fernando Ribeiro de Mello's Edições Afrodite published a vast collection of banned books, seized and destroy…",https://www.rtp.pt/play/p13315/e923189/editor-contra
Documentaries (Portugal),Fotobox,Fotobox,12+,07 abr. 2026,yes,"Fotobox, o seu programa de fotografia…","Fotobox, your photography programme…",https://www.rtp.pt/play/p16322/e920367/fotobox
Documentaries (Portugal),Paulo Rocha - Memórias,Paulo Rocha - Memories,1,29 mar. 2026,yes,Entrevista com o cineasta Paulo Rocha realizada e filmada em 2010 por Edgar Feldman.,"An interview with filmmaker Paulo Rocha, directed and filmed in 2010 by Edgar Feldman.",https://www.rtp.pt/play/p16471/e918578/paulo-rocha-memorias
Documentaries (Portugal),A Correr a Ponte,Running the Bridge,1,07 mar. 2026,yes,Ficha TécnicaDiretor de Programas RTP 2Gonçalo MadaílAutor Rui AlvesVozPaulo SérgioEdição e PesquisaRui AlvesGenérico e GrafismoMargarida Rodri,Credits: RTP 2 Programme Director Gonçalo Madaíl; Author Rui Alves; Voice Paulo Sérgio; Editing and Research Rui Alves; Titles and Graphics Margarida Rodri…,https://www.rtp.pt/play/p16423/e913625/a-correr-a-ponte
Documentaries (Portugal),Portugueses na Nova Inglaterra,The Portuguese in New England,8,05 mar. 2026,yes,"Série que retrata em quatro episódios, a saga da emigração de açorianos para a Nova Inglaterra - Costa Leste dos Es…",A four-episode series portraying the saga of emigration from the Azores to New England - the East Coast of the Unit…,https://www.rtp.pt/play/p15580/e913044/portugueses-na-nova-inglaterra
Documentaries (Portugal),Entre o Mar e a Terra,Between Sea and Land,12+,02 mar. 2026,yes,100 Anos da Associação Protectora dos Diabéticos de Portugal - Insulina para Todos…,100 Years of the Portuguese Diabetics' Protection Association - Insulin for All…,https://www.rtp.pt/play/p15757/e912281/entre-o-mar-e-a-terra
Documentaries (Portugal),Sem Fazer Planos do Que Virá Depois,Without Making Plans for What Comes Next,1,01 mar. 2026,yes,"Em maio de 2017, 'Amar Pelos Dois', na voz de Salvador Sobral, deu a Portugal a sua primeira vitória no Festival da Eurovisão. Era o oposto da canç","In May 2017, 'Amar Pelos Dois', sung by Salvador Sobral, gave Portugal its first victory in the Eurovision Song Contest. It was the opposite of the song…",https://www.rtp.pt/play/p4196/e911701/sem-fazer-planos-do-que-vira-depois
Documentaries (Portugal),Nem Toda a Noite a Vida: Vitorino Nemésio,Life Is Not All Night: Vitorino Nemésio,3,20 fev. 2026,yes,"A 19 de Dezembro de 1901, às 4h, nasce na Praia da Vitória (Ilha Terceira, Açores), Vitorino Nemésio Mendes Pinheiro da Silva. A sua obra literár","On 19 December 1901, at 4 a.m., Vitorino Nemésio Mendes Pinheiro da Silva was born in Praia da Vitória (Terceira Island, Azores). His literary work…",https://www.rtp.pt/play/p14592/e909832/nem-toda-a-noite-a-vida-vitorino-nemesio
Documentaries (Portugal),Sou Capaz,I Can Do It,9,20 fev. 2026,yes,Programas de promoção da cidadania e desenvolvimento comunitário no universo dos Países Africanos de Língua Oficial…,Programmes promoting citizenship and community development in the world of the African Countries with Portuguese as an Official…,https://www.rtp.pt/play/p16326/e910062/sou-capaz
Documentaries (Portugal),Intervalo para Publicidade,Commercial Break,6,17 fev. 2026,yes,"No sexto e último episódio de 'Intervalo para Publicidade', reflete-se sobre o presente e o futuro da publicidade num mundo marcado pela saturação","In the sixth and final episode of 'Intervalo para Publicidade', we reflect on the present and future of advertising in a world marked by saturation…",https://www.rtp.pt/play/p16142/e911369/intervalo-para-publicidade
Documentaries (Portugal),Eugénio de Andrade,Eugénio de Andrade,5,19 jan. 2026,yes,"Filho de camponeses, Eugénio de Andrade (1923-2005) passou a  sua infância numa aldeia da Beira Baixa. ","The son of peasants, Eugénio de Andrade (1923-2005) spent his childhood in a village in Beira Baixa.",https://www.rtp.pt/play/p5416/e903027/eugenio-de-andrade
Documentaries (Portugal),João Ayres - Pintor Independente,João Ayres - Independent Painter,2,05 jan. 2026,yes,"Documentário com várias camadas de histórias, sobre o pintor português João Ayres (1921-2001), figura em trânsito entre Moçambique e Portugal q","A documentary with several layers of stories about the Portuguese painter João Ayres (1921-2001), a figure moving between Mozambique and Portugal wh…",https://www.rtp.pt/play/p14178/e900115/joao-ayres-pintor-independente
Documentaries (Portugal),Como Eu Atravessei África,How I Crossed Africa,1,05 jan. 2026,yes,Edição e Pós-Produção Vídeo - Sérgio Alexandre,Video Editing and Post-Production - Sérgio Alexandre,https://www.rtp.pt/play/p15587/e900103/como-eu-atravessei-africa
Documentaries (Portugal),Sousa Martins - Vida e Culto,Sousa Martins - Life and Cult,1,01 jan. 2026,no,"Médico de excelência, mestre professor, intelectual e homem de caridade, José Tomás de Sousa Martins tornou-se um santo aos olhos do povo. ","An outstanding doctor, master teacher, intellectual and charitable man, José Tomás de Sousa Martins became a saint in the eyes of the people.",https://www.rtp.pt/play/p7720/e899590/sousa-martins-vida-e-culto
Documentaries (Portugal),A Minha Tese - Raúl Saraiva,My Thesis - Raúl Saraiva,1,29 dez. 2025,yes,Está a fazer o seu doutoramento em Microbiologia Molecular e Imunologia. O trabalho que está a desenvolver visa impedir transmissão direta de doen,He is doing his PhD in Molecular Microbiology and Immunology. The work he is developing aims to prevent the direct transmission of disea…,https://www.rtp.pt/play/p16051/e898846/a-minha-tese-raul-saraiva
Documentaries (Portugal),À Mesa com Elas,At the Table with Them,7,28 dez. 2025,yes,"Serenella Andrade e Inês Carranca são um bom garfo e convidam os portugueses a sentar-se À Mesa com Elas!De norte a sul do país, servem-nos uma vi","Serenella Andrade and Inês Carranca are keen eaters and invite the Portuguese to sit down 'At the Table with Them'! From north to south of the country, they serve us a…",https://www.rtp.pt/play/p15804/e898771/a-mesa-com-elas
Documentaries (Portugal),Sempre a Tempo,Always in Time,12+,19 dez. 2025,no,"Dividido em três momentos diferentes: o Index que testa a sua cultura geral, o Gabinete de Curiosidades que é uma montra de cultura e o Ler de Ouvido que apresenta as grandes obras literárias mundiais…","Divided into three different segments: the Index, which tests your general knowledge, the Cabinet of Curiosities, a showcase of culture, and Reading by Ear, which presents the great works of world literature…",https://www.rtp.pt/play/p14758/e897058/sempre-a-tempo
Documentaries (Portugal),"Mar, a Última Fronteira - Best Of","The Sea, the Last Frontier - Best Of",1,19 dez. 2025,yes,"Um projeto da RTP, desenvolvido em parceria com o Oceanário de Lisboa e a Fundação Oceano Azul e realizado pelo fotógrafo e cineasta subaquático ","An RTP project, developed in partnership with the Lisbon Oceanarium and the Oceano Azul Foundation and directed by the underwater photographer and filmmaker…",https://www.rtp.pt/play/p15978/e896995/mar-a-ultima-fronteira-best-of
Documentaries (Portugal),Portugal Fenomenal,Phenomenal Portugal,8,13 dez. 2025,yes,"Viagens surpreendentes pelos locais mais enigmáticos, singulares e majestosos do nosso país…","Surprising journeys through the most enigmatic, unusual and majestic places in our country…",https://www.rtp.pt/play/p15768/e895695/portugal-fenomenal
Documentaries (Portugal),As Sibilas do Passo,The Sibyls of Passo,1,06 dez. 2025,yes,"O Círculo Literário Agustina Bessa-Luís, no âmbito das comemorações dos 95 anos da escritora, em 2017, realizou três documentários em torno de","The Agustina Bessa-Luís Literary Circle, as part of the celebrations of the writer's 95th birthday in 2017, made three documentaries about…",https://www.rtp.pt/play/p15917/e894440/as-sibilas-do-passo
Documentaries (Portugal),Afazeres do Mês,Jobs of the Month,12+,30 nov. 2025,yes,Magazine mensal sobre os trabalhos na horta e no jardim…,A monthly magazine programme about work in the vegetable garden and the flower garden…,https://www.rtp.pt/play/p14279/e892932/afazeres-do-mes
Documentaries (Portugal),Mata-Bicho,Breakfast,12+,25 nov. 2025,no,"As pessoas, as histórias e os produtos por trás de cachupas, muambas, calulus, caris e tantos outros pratos que celebram África à mesa…","The people, the stories and the produce behind cachupas, muambas, calulus, curries and so many other dishes that bring Africa to the table…",https://www.rtp.pt/play/p15150/e891754/mata-bicho
Documentaries (Portugal),Se o Mar Deixar,If the Sea Allows,2,24 nov. 2025,yes,'Se o Mar Deixar' é o resultado de 15 anos de filmagens realizadas por Pedro Aguilar. Durante este período estabeleceu uma relação de crescente cu,'Se o Mar Deixar' is the result of 15 years of filming by Pedro Aguilar. During this period he built an increasingly close relationship…,https://www.rtp.pt/play/p15522/e891508/se-o-mar-deixar
Documentaries (Portugal),"Espelho Meu, Espelho Meu","Mirror, Mirror",1,23 nov. 2025,yes,"O documentário 'Espelho Meu, Espelho Meu' revela a grande individual de Joana Vasconcelos 'I´m Your Mirror' no Museu Guggenheim Bilbao, mostrando os","The documentary 'Espelho Meu, Espelho Meu' reveals Joana Vasconcelos's major solo exhibition 'I'm Your Mirror' at the Guggenheim Museum Bilbao, showing the…",https://www.rtp.pt/play/p12627/e891540/espelho-meu-espelho-meu
Documentaries (Portugal),Olhares - Afrodescendentes no Portugal Contemporâneo,Perspectives - Afro-descendants in Contemporary Portugal,6,23 nov. 2025,yes,"O Racismo - Como Vivemos o Racismo na Pele, no Dia-a-Dia? - Este episódio mergulha nos diferentes sentimentos que o peso do racismo, ainda existente,","Racism - How Do We Experience Racism on Our Skin, Day to Day? - This episode delves into the different feelings that the weight of racism, still present,…",https://www.rtp.pt/play/p15664/e891372/olhares-afrodescendentes-no-portugal-contemporaneo
Documentaries (Portugal),"Frias Martins: Cientista, Professor, Divulgador e Homem de Fé","Frias Martins: Scientist, Teacher, Communicator and Man of Faith",3,30 out. 2025,yes,"Documentário sobre o cientista, investigador, professor universitário e divulgador de Ciência. Frias Martins foi um dos primeiros colaboradores da ","A documentary about the scientist, researcher, university professor and science communicator. Frias Martins was one of the first collaborators of the…",https://www.rtp.pt/play/p10382/e886032/cientista-professor-divulgador-e-o-homem
Documentaries (Portugal),Preparados para o Tsunami?,Ready for the Tsunami?,1,29 out. 2025,no,A Península Ibérica é um dos locais com maior risco de tsunamis no Oceano Atlântico. Que evidências científicas temos? O quê que a história no,The Iberian Peninsula is one of the places at greatest risk of tsunamis in the Atlantic Ocean. What scientific evidence do we have? What does history…,https://www.rtp.pt/play/p15758/e885412/preparados-para-o-tsunami
Documentaries (Portugal),ModaLisboa Base - Melhores Momentos,ModaLisboa Base - Highlights,1,24 out. 2025,yes,"Os melhores momentos da 65ª Lisboa Fashion Week, que propôs pensar sobre a materialização da Moda de Autor e também sobre novos caminhos para mod","The highlights of the 65th Lisbon Fashion Week, which set out to reflect on the materialisation of designer fashion and on new paths for fash…",https://www.rtp.pt/play/p15695/e884520/modalisboa-base-melhores-momentos
Documentaries (Portugal),A Minha Indonésia - Making Of,My Indonesia - Making Of,1,16 out. 2025,yes,"Making of do documentário 'A Minha Indonésia', que dá a conhecer a Indonésia através do olhar de Ana Gomes, antiga Embaixadora de Portugal em Jak","The making of the documentary 'A Minha Indonésia', which introduces Indonesia through the eyes of Ana Gomes, former Portuguese Ambassador in Jak…",https://www.rtp.pt/play/p15687/e882376/a-minha-indonesia-making-of
Documentaries (Portugal),João de Lacerda - O Colecionador Visionário,João de Lacerda - The Visionary Collector,1,26 set. 2025,yes,Com depoimentos de:,With contributions from:,https://www.rtp.pt/play/p15269/e877871/joao-de-lacerda-o-colecionador-visionario
Documentaries (Portugal),The Guitar Barrel Project,The Guitar Barrel Project,1,23 set. 2025,no,"A inesperada descoberta por um Luthier de umas madeiras de tonéis de vinho que supostamente pertenceram ao Marquês de Pombal, lança o desafio para ",A luthier's unexpected discovery of wood from wine barrels that supposedly belonged to the Marquis of Pombal sets the challenge for…,https://www.rtp.pt/play/p15573/e877160/the-guitar-barrel-project
Documentaries (Portugal),Por Amor à Tradição,For the Love of Tradition,8,21 set. 2025,yes,Inês Carranca leva-nos a conhecer os guardiões das tradições Portuguesas…,Inês Carranca takes us to meet the guardians of Portuguese traditions…,https://www.rtp.pt/play/p15331/e876832/por-amor-a-tradicao
Documentaries (Portugal),Matança da Páscoa - Memórias do 11 de Março de 1975,The Easter Slaughter - Memories of 11 March 1975,3,11 set. 2025,yes,"Com a participação de Otelo Saraiva de Carvalho, Francisco da Costa Gomes, António de Spínola, Vasco Lourenço, Salgueiro Maia, Diniz de Almeida, ","Featuring Otelo Saraiva de Carvalho, Francisco da Costa Gomes, António de Spínola, Vasco Lourenço, Salgueiro Maia, Diniz de Almeida,…",https://www.rtp.pt/play/p12222/e874438/matanca-da-pascoa-memorias-do-11-de-marco-de-1975
Documentaries (Portugal),Sete Cidades: Da Lenda à Realidade,Sete Cidades: From Legend to Reality,3,06 set. 2025,yes,"'Sete Cidades: Da Lenda à Realidade' é um documentário que retrata as tradições, usos e costumes dos habitantes da freguesia das sete cidades, na","'Sete Cidades: Da Lenda à Realidade' is a documentary portraying the traditions, practices and customs of the inhabitants of the parish of Sete Cidades, in…",https://www.rtp.pt/play/p10718/e873923/sete-cidades-da-lenda-a-realidade
Documentaries (Portugal),Por Isso é que Sou das Ilhas de Bruma,That's Why I'm From the Misty Isles,3,04 set. 2025,yes,Documentário sobre o autor e compositor da música Ilhas de Bruma.,A documentary about the writer and composer of the song 'Ilhas de Bruma'.,https://www.rtp.pt/play/p9010/e873616/por-isso-e-que-sou-das-ilhas-de-bruma
Documentaries (Portugal),Aprendiz de Feiticeiro - Uma Viagem ao Imaginário de Zeca Medeiros,The Sorcerer's Apprentice - A Journey into the Imagination of Zeca Medeiros,1,31 ago. 2025,yes,"Séries do artista como 'Mau Tempo no Canal', 'Xailes Negros', 'Gente Feliz com Lágrimas' ou, ainda, trabalhos como ? O Feiticeiro do Vento? e ?A Ilh","The artist's series such as 'Mau Tempo no Canal', 'Xailes Negros', 'Gente Feliz com Lágrimas' or, also, works such as 'O Feiticeiro do Vento' and 'A Ilh…",https://www.rtp.pt/play/p15466/e872629/aprendiz-de-feiticeiro-uma-viagem-ao-imaginario-de-zeca-medeiros
Documentaries (Portugal),Brumas da Memória: Os Portugueses Contra o III Reich,Mists of Memory: The Portuguese Against the Third Reich,2,28 ago. 2025,yes,"No ano em que se celebram 80 anos da libertação da França, recordamos os cerca de 500 compatriotas que, integrados na Resistência ou nas forças a","In the year marking 80 years since the liberation of France, we remember the roughly 500 compatriots who, as part of the Resistance or the a…",https://www.rtp.pt/play/p15152/e872203/brumas-da-memoria-os-portugueses-contra-o-iii-reich
Documentaries (Portugal),Vinhos de Portugal,Wines of Portugal,5,24 ago. 2025,no,Douro - O Rio do Vinho - Série documental da autoria de José António Salvador sobre alguns dos mais relevantes vinhos de Portugal.,Douro - The River of Wine - A documentary series by José António Salvador about some of Portugal's most important wines.,https://www.rtp.pt/play/p14647/e871544/vinhos-de-portugal
Documentaries (Portugal),No Reino Secreto dos Bijagós,In the Secret Kingdom of the Bijagós,5,17 ago. 2025,yes,"Os Escultores dos Espíritos - A relação com a natureza através dos rituais, das máscaras de dança e outras obras de escultura.","The Sculptors of Spirits - The relationship with nature through rituals, dance masks and other works of sculpture.",https://www.rtp.pt/play/p9042/e870550/no-reino-dos-bijagos
